,ESTADO,PRODUTO,MES_ANO,VL_VENDA
47,AC,DIESEL S10,01/2022,6.569444444444445
48,AC,DIESEL S10,01/2023,6.481481481481482
49,AC,DIESEL S10,01/2024,6.909090909090909
50,AC,DIESEL S10,01/2025,7.0
51,AC,DIESEL S10,02/2022,6.978260869565218
52,AC,DIESEL S10,02/2024,7.0
53,AC,DIESEL S10,02/2025,7.5
54,AC,DIESEL S10,03/2022,6.3
55,AC,DIESEL S10,03/2023,6.363636363636363
56,AC,DIESEL S10,03/2024,6.6875
57,AC,DIESEL S10,03/2025,7.35
58,AC,DIESEL S10,04/2022,6.755102040816326
59,AC,DIESEL S10,04/2023,6.285714285714286
60,AC,DIESEL S10,04/2024,7.0
61,AC,DIESEL S10,05/2022,7.246153846153846
62,AC,DIESEL S10,05/2023,5.84375
63,AC,DIESEL S10,05/2024,7.0
64,AC,DIESEL S10,05/2025,7.466666666666667
65,AC,DIESEL S10,06/2022,6.884615384615385
66,AC,DIESEL S10,06/2023,6.521739130434782
67,AC,DIESEL S10,06/2024,7.0
68,AC,DIESEL S10,06/2025,7.411764705882353
69,AC,DIESEL S10,07/2022,6.806451612903226
70,AC,DIESEL S10,07/2023,6.0
71,AC,DIESEL S10,07/2024,7.0
72,AC,DIESEL S10,07/2025,7.0
73,AC,DIESEL S10,08/2022,6.869047619047619
74,AC,DIESEL S10,08/2023,6.388888888888889
75,AC,DIESEL S10,08/2024,7.046511627906977
76,AC,DIESEL S10,08/2025,7.5
77,AC,DIESEL S10,09/2022,7.0
78,AC,DIESEL S10,09/2023,5.090909090909091
79,AC,DIESEL S10,09/2024,7.125
80,AC,DIESEL S10,09/2025,8.0
81,AC,DIESEL S10,10/2022,6.53030303030303
82,AC,DIESEL S10,10/2023,6.304347826086956
83,AC,DIESEL S10,10/2024,6.760869565217392
84,AC,DIESEL S10,10/2025,7.0
85,AC,DIESEL S10,11/2022,6.661016949152542
86,AC,DIESEL S10,11/2023,6.3
87,AC,DIESEL S10,11/2024,7.0
88,AC,DIESEL S10,11/2025,8.0
89,AC,DIESEL S10,12/2022,7.586956521739131
90,AC,DIESEL S10,12/2023,6.069767441860465
91,AC,DIESEL S10,12/2024,7.0
92,AC,DIESEL S10,12/2025,7.454545454545454
93,AC,DIESEL S10,<NA>/<NA>,6.795693540310466
142,AL,DIESEL S10,01/2022,6.357798165137615
143,AL,DIESEL S10,01/2023,5.9
144,AL,DIESEL S10,01/2024,5.24
145,AL,DIESEL S10,02/2022,5.92
146,AL,DIESEL S10,02/2023,5.75
147,AL,DIESEL S10,02/2024,5.553191489361702
148,AL,DIESEL S10,02/2025,5.2
149,AL,DIESEL S10,03/2022,5.487804878048781
150,AL,DIESEL S10,03/2023,5.36
151,AL,DIESEL S10,03/2024,5.523809523809524
152,AL,DIESEL S10,03/2025,6.195652173913044
153,AL,DIESEL S10,04/2022,6.402777777777778
154,AL,DIESEL S10,04/2023,5.564102564102564
155,AL,DIESEL S10,04/2024,5.424657534246576
156,AL,DIESEL S10,04/2025,5.071428571428571
157,AL,DIESEL S10,05/2022,6.564516129032258
158,AL,DIESEL S10,05/2023,4.950819672131147
159,AL,DIESEL S10,05/2024,5.407407407407407
160,AL,DIESEL S10,05/2025,5.846153846153846
161,AL,DIESEL S10,06/2022,6.428571428571429
162,AL,DIESEL S10,06/2023,5.9423076923076925
163,AL,DIESEL S10,06/2024,5.416666666666667
164,AL,DIESEL S10,06/2025,5.842105263157895
165,AL,DIESEL S10,07/2022,5.582417582417582
166,AL,DIESEL S10,07/2023,5.2745098039215685
167,AL,DIESEL S10,07/2024,5.454545454545454
168,AL,DIESEL S10,07/2025,5.888888888888889
169,AL,DIESEL S10,08/2022,6.611940298507463
170,AL,DIESEL S10,08/2023,5.315789473684211
171,AL,DIESEL S10,08/2024,5.181818181818182
172,AL,DIESEL S10,08/2025,5.571428571428571
173,AL,DIESEL S10,09/2022,6.217391304347826
174,AL,DIESEL S10,09/2023,5.685714285714286
175,AL,DIESEL S10,09/2024,5.48
176,AL,DIESEL S10,09/2025,5.791666666666667
177,AL,DIESEL S10,10/2022,5.72972972972973
178,AL,DIESEL S10,10/2023,5.568181818181818
179,AL,DIESEL S10,10/2024,5.510204081632653
180,AL,DIESEL S10,10/2025,6.157894736842105
181,AL,DIESEL S10,11/2022,6.421052631578948
182,AL,DIESEL S10,11/2023,5.353658536585366
183,AL,DIESEL S10,11/2024,5.4035087719298245
184,AL,DIESEL S10,11/2025,5.758620689655173
185,AL,DIESEL S10,12/2022,6.355555555555555
186,AL,DIESEL S10,12/2023,5.142857142857143
187,AL,DIESEL S10,12/2024,5.491228070175438
188,AL,DIESEL S10,12/2025,6.131578947368421
189,AL,DIESEL S10,<NA>/<NA>,5.732735898787559
287,AM,DIESEL S10,01/2022,6.946428571428571
288,AM,DIESEL S10,01/2023,5.357142857142857
289,AM,DIESEL S10,01/2024,5.826086956521739
290,AM,DIESEL S10,01/2025,6.0
291,AM,DIESEL S10,02/2022,6.269230769230769
292,AM,DIESEL S10,02/2023,5.755555555555556
293,AM,DIESEL S10,02/2024,5.763888888888889
294,AM,DIESEL S10,02/2025,6.0
295,AM,DIESEL S10,03/2022,6.216216216216216
296,AM,DIESEL S10,03/2023,5.5
297,AM,DIESEL S10,03/2024,6.128205128205129
298,AM,DIESEL S10,03/2025,6.264150943396227
299,AM,DIESEL S10,04/2022,6.178294573643411
300,AM,DIESEL S10,04/2023,5.816326530612245
301,AM,DIESEL S10,04/2024,6.207792207792208
302,AM,DIESEL S10,04/2025,6.0
303,AM,DIESEL S10,05/2022,6.586666666666667
304,AM,DIESEL S10,05/2023,5.591549295774648
305,AM,DIESEL S10,05/2024,6.206349206349207
306,AM,DIESEL S10,05/2025,6.294117647058823
307,AM,DIESEL S10,06/2022,6.371428571428571
308,AM,DIESEL S10,06/2023,5.833333333333333
