,ESTADO,PRODUTO,MES_ANO,VL_VENDA
190,AL,GNV,01/2022,4.125
191,AL,GNV,01/2023,4.5
192,AL,GNV,01/2024,4.0
193,AL,GNV,02/2022,4.090909090909091
194,AL,GNV,02/2023,4.05
195,AL,GNV,02/2024,4.076923076923077
196,AL,GNV,02/2025,4.0
197,AL,GNV,03/2022,4.0
198,AL,GNV,03/2023,4.0
199,AL,GNV,03/2024,4.0
200,AL,GNV,03/2025,4.0
201,AL,GNV,04/2022,4.0
202,AL,GNV,04/2023,4.043478260869565
203,AL,GNV,04/2024,4.0
204,AL,GNV,04/2025,4.0
205,AL,GNV,05/2022,4.2
206,AL,GNV,05/2023,4.0
207,AL,GNV,05/2024,4.1
208,AL,GNV,05/2025,4.2
209,AL,GNV,06/2022,4.0
210,AL,GNV,06/2023,4.285714285714286
211,AL,GNV,06/2024,4.0
212,AL,GNV,06/2025,4.090909090909091
213,AL,GNV,07/2022,4.125
214,AL,GNV,07/2023,4.0
215,AL,GNV,07/2024,4.0
216,AL,GNV,07/2025,4.0
217,AL,GNV,08/2022,4.111111111111111
218,AL,GNV,08/2023,4.076923076923077
219,AL,GNV,08/2024,4.0
220,AL,GNV,08/2025,4.0
221,AL,GNV,09/2022,4.0
222,AL,GNV,09/2023,4.0588235294117645
223,AL,GNV,09/2024,4.05
224,AL,GNV,09/2025,4.0
225,AL,GNV,10/2022,4.166666666666667
226,AL,GNV,10/2023,4.0
227,AL,GNV,10/2024,4.083333333333333
228,AL,GNV,10/2025,4.0
229,AL,GNV,11/2022,4.1
230,AL,GNV,11/2023,4.04
231,AL,GNV,11/2024,4.05
232,AL,GNV,11/2025,4.0
233,AL,GNV,12/2022,4.0
234,AL,GNV,12/2023,4.1
235,AL,GNV,12/2024,4.0
236,AL,GNV,12/2025,4.1
237,AL,GNV,<NA>/<NA>,4.057522123893805
336,AM,GNV,01/2022,3.0
337,AM,GNV,01/2023,4.0
338,AM,GNV,01/2024,4.0
339,AM,GNV,01/2025,5.0
340,AM,GNV,02/2022,4.0
341,AM,GNV,02/2023,4.0
342,AM,GNV,02/2024,4.0
343,AM,GNV,02/2025,5.0
